title,year,director,genres,country,language,rating,votes,url
K星异客 K-PAX,2001,伊恩·索夫特雷,剧情 / 科幻,美国 / 德国,英语,8.5,100946,
大河恋 A River Runs Through It,1992,罗伯特·雷德福,剧情 / 家庭,美国,英语,8.5,79324,
小公主 A Little Princess,1995,阿方索·卡隆,剧情 / 奇幻,美国,英语 / 法语,8.5,36927,
痛苦与荣耀 Dolor y gloria,2019,佩德罗·阿莫多瓦,剧情 / 同性,西班牙 / 法国,西班牙语,8.5,85865,
没有过去的男人 Mies vailla menneisyyttä,2002,阿基·考里斯马基,剧情 / 喜剧 / 爱情,芬兰 / 德国 / 法国,芬兰语,8.5,23738,
辉夜姬物语 かぐや姫の物語,2013,高畑勋,动画 / 奇幻 / 古装,日本,日语,8.5,95386,
季春奶奶 계춘할망,2016,尹鸿承,剧情 / 家庭,韩国,韩语,8.5,71578,
高地战 고지전,2011,张勋,剧情 / 战争,韩国,韩语,8.5,50286,
"黑猫白猫 Црна мачка, бели мачор",1998,埃米尔·库斯图里卡,喜剧 / 爱情 / 音乐,南斯拉夫 / 法国 / 德国 / 奥地利 / 希腊,罗马尼语 / 塞尔维亚语 / 保加利亚语,8.5,29400,
逃避虽可耻但有用 新春特别篇 逃げるは恥だが役に立つ ガンバレ人類! 新春スペシャル!!,2021,金子文纪,剧情 / 爱情,日本,日语,8.5,42608,
狐妖小红娘剧场版：下沙,2015,王昕,动画,中国大陆,汉语普通话,8.5,10497,
香蕉天堂,1989,王童,剧情,中国台湾,汉语普通话 / 闽南语,8.5,10763,
芭比之美人鱼历险记2 Barbie in a Mermaid Tale  2,2012,William Lau,动画,加拿大,英语,8.5,6084,
天堂的孩子 Les enfants du paradis,1945,马塞尔·卡尔内,剧情 / 爱情,法国,法语,8.5,6007,
女友的男友 L'ami de mon amie,1987,埃里克·侯麦,喜剧 / 爱情,法国,法语,8.5,39311,
命运之夜——天之杯Ⅲ：春之歌 劇場版 Fate/stay night [Heaven's Feel] III. spring song,2020,须藤友德,剧情 / 动画 / 奇幻,日本,日语,8.5,21412,
航海王：强者天下 ONE PIECE FILM STRONG WORLD,2009,境宗久,动画 / 奇幻,日本,日语,8.5,36706,
随心所欲 Vivre sa vie: Film en douze tableaux,1962,让-吕克·戈达尔,剧情,法国,法语,8.5,26890,
回家的路 집으로 가는 길,2013,方银振,剧情 / 家庭 / 犯罪,韩国,韩语,8.5,59199,
芭比与三剑客 Barbie and the Three Musketeers,2009,William Lau,动画 / 家庭,美国,英语,8.5,8650,
狐狸与我 Le renard et l'enfant,2007,吕克·雅盖,剧情 / 儿童 / 冒险,法国,法语,8.5,34802,
蜘蛛巢城 蜘蛛巣城,1957,黑泽明,剧情 / 历史,日本,日语,8.5,34757,
死囚越狱 Un Condamné à mort s'est échappé,1956,罗伯特·布列松,剧情 / 惊悚 / 战争,法国,法语 / 德语,8.5,21260,
暗恋桃花源 暗戀桃花源,1992,赖声川,剧情 / 喜剧 / 爱情,中国台湾,汉语普通话,8.5,59871,
"蝙蝠侠：黑暗骑士归来(上) Batman: The Dark Knight Returns, Part 1",2012,杰伊·欧力瓦,动作 / 动画,美国,英语,8.5,28899,
405谋杀案,1980,沈耀庭,悬疑 / 惊悚,中国大陆,汉语普通话,8.5,21300,
吸血鬼猎人D 吸血鬼ハンターD,1985,芦田丰雄,动画 / 恐怖 / 奇幻,日本,日语,8.5,8558,
史崔特先生的故事 The Straight Story,1999,大卫·林奇,剧情 / 传记,法国 / 英国 / 美国,英语,8.5,35473,
两小无猜 Melody,1971,瓦里丝·侯赛因,剧情 / 爱情,英国,英语,8.5,44447,
甘地传 Gandhi,1982,理查德·阿滕伯勒,剧情 / 传记 / 历史,英国 / 印度 / 美国,英语,8.5,38644,
导盲犬小Q クイール,2004,崔洋一,剧情,日本,日语,8.5,138890,
煤气灯下 Gaslight,1944,乔治·库克,剧情 / 犯罪 / 黑色电影,美国,英语,8.5,23382,
芭比之圣诞颂歌 Barbie in a Christmas Carol,2008,William Lau,动画 / 家庭,美国,英语,8.5,7221,
投奔怒海,1982,许鞍华,剧情,中国香港,粤语 / 日语 / 法语 / 越南语,8.5,28420,
秘密花园 The Secret Garden,1993,阿格涅丝卡·霍兰,剧情 / 家庭 / 奇幻,英国 / 美国,英语,8.5,24344,
犬夜叉：穿越时空的思念 犬夜叉 時代を越える想い,2001,筱原俊哉,动作 / 爱情 / 动画 / 冒险,日本,日语,8.5,19081,
单身男子 A Single Man,2009,汤姆·福特,剧情 / 同性,美国,英语 / 西班牙语,8.5,109129,
客途秋恨,1990,许鞍华,剧情 / 家庭,中国香港 / 中国台湾,英语 / 汉语普通话 / 粤语 / 日语,8.5,23248,
芭比之时尚童话 Barbie: A Fashion Fairytale,2010,William Lau,动画 / 家庭,美国,英语,8.5,10130,
天堂陌影 Stranger Than Paradise,1984,吉姆·贾木许,剧情 / 喜剧,美国 / 西德,英语 / 匈牙利语 / 意大利语,8.5,18149,
诗无尽头 Poesía sin fin,2016,亚历桑德罗·佐杜洛夫斯基,剧情 / 传记 / 奇幻,智利 / 日本 / 法国 / 英国,西班牙语 / 法语 / 英语,8.5,14311,
借着雨点说爱你 いま、会いにゆきます,2004,土井裕泰,剧情 / 爱情 / 奇幻,日本,日语,8.5,42647,
我的舅舅 Mon oncle,1958,雅克·塔蒂,喜剧,意大利 / 法国,法语,8.5,22741,
伤物语1：铁血篇 傷物語Ⅰ 鉄血篇,2016,新房昭之 / 尾石达也,喜剧 / 动作 / 爱情 / 动画 / 奇幻,日本,日语,8.5,12397,
死亡医生 You Don't Know Jack,2010,巴瑞·莱文森,剧情 / 传记,美国,英语,8.5,30674,
黄阿丽：铁娘子 Ali Wong: Hard Knock Wife,2018,杰伊·卡拉斯,脱口秀,美国,英语,8.5,16615,
凯尔经的秘密 The Secret of Kells,2009,汤姆·摩尔 / 诺拉·托梅,动画 / 奇幻 / 冒险,爱尔兰 / 法国 / 比利时,英语 / 爱尔兰语 / 苏格兰盖尔语,8.5,65444,
恶童 鉄コン筋クリート,2006,迈克尔·艾里亚斯,动作 / 动画 / 犯罪 / 冒险,日本,日语,8.5,69215,
刘三姐,1960,苏里,剧情 / 音乐 / 戏曲,中国大陆,汉语普通话,8.5,19116,
抛掉书本上街去 書を捨てよ町へ出よう,1971,寺山修司,剧情 / 音乐,日本,日语,8.5,11007,
自由的幻影 Le fantôme de la liberté,1974,路易斯·布努艾尔,剧情 / 喜剧,法国 / 意大利,法语,8.5,18285,
纸月亮 Paper Moon,1973,彼得·博格丹诺维奇,剧情 / 喜剧 / 犯罪,美国,英语,8.5,17895,
人生,1984,吴天明,剧情 / 爱情,中国大陆,汉语普通话,8.5,12767,
默默无闻 Nowhere Special,2020,乌贝托·帕索里尼,剧情,意大利 / 罗马尼亚 / 英国,英语,8.5,10170,
出水芙蓉 Bathing Beauty,1944,乔治·西德尼,喜剧 / 歌舞,美国,英语 / 西班牙语 / 法语,8.5,31336,
愤怒的葡萄 The Grapes of Wrath,1940,约翰·福特,剧情 / 历史,美国,英语,8.5,12665,
人生密密缝 彼らが本気で編むときは、,2017,荻上直子,剧情 / 同性 / 家庭,日本,日语,8.5,57438,
尼罗河上的惨案 Poirot: Death on the Nile,2004,安迪·威尔逊,剧情 / 悬疑 / 犯罪,英国,英语,8.5,30428,
夏威夷 Hawaii,2013,马可·伯格,剧情 / 同性,阿根廷,西班牙语,8.5,26533,
飓风 The Hurricane,1999,诺曼·杰威森,剧情 / 传记 / 运动,美国,英语,8.5,14795,
一江春水向东流 一江春水向東流,1947,蔡楚生 / 郑君里,剧情,中国大陆,汉语普通话,8.5,18605,
爱丽丝 Něco z Alenky,1988,杨·史云梅耶,动画 / 奇幻 / 冒险,捷克斯洛伐克 / 瑞士 / 英国 / 西德,捷克语,8.5,13903,
小树的故事 The Education of Little Tree,1997,理查德·弗雷登伯格,剧情,加拿大,英语,8.5,9765,
复仇在我 復讐するは我にあり,1979,今村昌平,剧情 / 犯罪,日本,日语 / 英语,8.5,14509,
花落花开 Séraphine,2008,马丁·波渥斯,剧情 / 传记 / 战争,法国 / 比利时,法语 / 德语,8.5,22608,
蜂巢幽灵 El espíritu de la colmena,1973,维克多·艾里斯,剧情,西班牙,西班牙语,8.5,12366,
最长的一天 The Longest Day,1962,肯·安纳金 / 安德鲁·马顿 / 伯恩哈德·维基 / 达里尔·F·扎努克,剧情 / 动作 / 历史 / 战争,美国,英语 / 德语 / 法语,8.5,14455,
和声 하모니,2010,康大奎,剧情,韩国,韩语,8.5,70078,
浮云 浮雲,1955,成濑巳喜男,剧情 / 爱情,日本,日语,8.5,12649,
伊莉莎与玛瑟拉 Elisa y Marcela,2019,伊莎贝尔·科赛特,爱情 / 同性 / 传记,西班牙,西班牙语 / 葡萄牙语,8.5,9713,
满城风雨 The Front Page,1974,比利·怀尔德,剧情 / 喜剧 / 爱情,美国,英语,8.5,8688,
小熊维尼：寻找克里斯多夫罗宾 Pooh's Grand Adventure: The Search for Christopher Robin,1997,Karl Geurs,动画 / 冒险,美国,英语,8.5,4979,
剑风传奇 黄金时代篇1：霸王之卵 ベルセルク 黄金時代篇Ⅰ 覇王の卵,2012,洼冈俊之,剧情 / 动作 / 动画 / 战争,日本,日语,8.5,20204,
猫儿历险记 The Aristocats,1970,沃夫冈·雷瑟曼,喜剧 / 动画 / 音乐 / 冒险,美国,英语,8.5,7466,
邦尼和琼 Benny & Joon,1993,耶利米·S·谢奇克,剧情 / 喜剧 / 爱情,美国,英语,8.5,25351,
哆啦A梦：大雄与风之使者 ドラえもん のび太とふしぎ風使い,2003,芝山努,剧情 / 动画 / 儿童 / 奇幻,日本,日语,8.5,9610,
桃源镇,1996,熊郁,剧情,中国大陆,汉语普通话,8.5,2345,
细路祥 細路祥,1999,陈果,剧情,中国香港,粤语,8.5,18165,
啤酒谋杀案 Poirot: Five Little Pigs,2003,保罗·安文,爱情 / 悬疑 / 犯罪,英国,英语,8.5,12423,
莫斯科不相信眼泪 Москва слезам не верит,1980,弗拉基米尔·缅绍夫,剧情 / 喜剧 / 爱情,苏联,俄语,8.5,22740,
圣诞快乐 Joyeux Noël,2005,克里斯蒂安·卡里翁,剧情 / 音乐 / 历史 / 战争,法国 / 德国 / 英国 / 比利时 / 罗马尼亚 / 挪威 / 日本 / 美国,法语 / 德语 / 英语 / 拉丁语,8.5,10496,
浮士德 Faust: Eine deutsche Volkssage,1926,F·W·茂瑙,恐怖 / 奇幻,德国,,8.5,5338,
犬夜叉：天下霸道之剑 犬夜叉 天下覇道の剣,2003,筱原俊哉,动画 / 奇幻,日本,日语,8.5,16430,
浮草,1959,小津安二郎,剧情,日本,日语,8.5,10926,
新女性,1935,蔡楚生,剧情,中国大陆,无对白,8.5,6424,
工作细胞特别篇：感冒 はたらく細胞 特別編 風邪症候群,2018,森田侑希,动画,日本,日语,8.5,5645,
另一个故乡 Die andere Heimat - Chronik einer Sehnsucht,2013,爱德嘉·莱兹,剧情 / 历史,德国 / 法国,德语,8.5,11650,
无职转生：到了异世界就拿出真本事 OVA 無職転生～異世界行ったら本気だす～ OVA,2022,冈本学,动画 / 冒险,日本,日语,8.5,3157,
二手狮王 Secondhand Lions,2003,蒂姆·麦肯莱斯,剧情 / 喜剧 / 家庭,美国,英语,8.5,19708,
日瓦戈医生 Doctor Zhivago,1965,大卫·里恩,剧情 / 爱情 / 战争,美国 / 意大利 / 英国,英语 / 俄语 / 法语,8.5,21387,
大捷,1995,吴天戈,战争,中国大陆,汉语普通话,8.5,5303,
抛开自我空间 Wit,2001,迈克·尼科尔斯,剧情,美国 / 英国,英语,8.5,3533,
再见，孩子们 Au revoir les enfants,1987,路易·马勒,剧情 / 战争,法国 / 西德 / 意大利,法语 / 德语 / 英语 / 希腊语 / 拉丁语,8.5,16478,
眩：北斋之女 眩～北斎の娘～,2017,加藤拓,剧情 / 历史,日本,日语,8.5,15823,
史密斯先生到华盛顿 Mr. Smith Goes to Washington,1939,弗兰克·卡普拉,剧情,美国,英语,8.5,12990,
审判 Le procès,1962,奥逊·威尔斯,剧情 / 悬疑 / 惊悚,法国 / 意大利 / 西德,英语,8.5,7478,
命运之夜 无限剑制 Sunny Day Fate/stay night [Unlimited Blade Works] Sunny Day,2015,三浦贵博,动画,日本,日语 / 英语,8.5,3864,
哆啦A梦：大雄与龙骑士 ドラえもん のび太と竜の骑士,1987,芝山努,科幻 / 动画 / 冒险,日本,日语,8.5,7469,
其后 それから,1985,森田芳光,剧情,日本,日语,8.5,9100,
我的青春恋爱物语果然有问题 OVA やはり俺の青春ラブコメはまちがっている。 OVA,2013,吉村爱,动画,日本,日语,8.5,6024,
想飞的钢琴少年 Vitus,2006,弗兰迪-M.米偌,剧情 / 音乐,瑞士,瑞士德语 / 英语,8.5,30591,
爱与死 Love and Death,1975,伍迪·艾伦,喜剧 / 战争,美国,英语,8.5,15465,
哆啦A梦：大雄的宇宙开拓史 映画ドラえもん のび太の宇宙開拓史,1981,西牧秀雄,科幻 / 动画 / 冒险,日本,日语,8.5,8806,
哆啦A梦：大雄的宇宙漂流记 ドラえもん のび太の宇宙漂流記,1999,芝山努,科幻 / 动画 / 冒险,日本,日语,8.5,6470,
音乐会 Le Concert,2009,拉杜·米哈伊列亚努,剧情 / 喜剧 / 音乐,法国 / 意大利 / 罗马尼亚 / 比利时,法语 / 俄语,8.5,19242,
哆啦A梦：大雄与动物行星 ドラえもん のび太とアニマル惑星,1990,芝山努,科幻 / 动画 / 冒险,日本,日语,8.5,7503,
高斯奥特曼 日月第一击 ウルトラマンコスモス THE FIRST CONTACT,2001,饭岛敏宏,科幻 / 家庭 / 奇幻 / 冒险,日本,日语,8.5,3160,
流星语 流星語,1999,张之亮,剧情 / 喜剧,中国香港,粤语,8.5,17435,
流浪艺人 Ο Θίασος,1975,西奥·安哲罗普洛斯,剧情 / 历史 / 战争,希腊,希腊语,8.5,5997,
2023最美的夜bilibili晚会,2023,,音乐 / 真人秀,中国大陆,汉语普通话,8.5,5293,
陪着你走 The Mighty,1998,彼德·切尔瑟姆,剧情 / 喜剧,美国,英语,8.5,3261,
交响情人梦 最终乐章 前篇 のだめカンタービレ 最終楽章 前編,2009,武内英树,剧情 / 喜剧 / 音乐,日本,日语,8.5,36172,
战地军魂 Stalag 17,1953,比利·怀尔德,剧情 / 喜剧 / 战争,美国,英语 / 德语,8.5,7704,
彩虹小马：小马国女孩之森林传奇 My Little Pony: Equestria Girls – Legend of Everfree,2016,Ishi Rudell,喜剧 / 动画 / 歌舞 / 家庭 / 奇幻,美国,英语,8.5,1563,
蝙蝠侠：红影迷踪 Batman: Under the Red Hood,2010,布兰登·维埃迪,动作 / 动画 / 惊悚 / 犯罪,美国,英语,8.5,15649,
广播时间 ラヂオの時間,1997,三谷幸喜,喜剧,日本,日语,8.5,14230,
阳光下的罪恶 Poirot: Evil Under the Sun,2001,Brian Farnham,剧情 / 悬疑 / 犯罪,英国,英语,8.5,8551,
"一路顺风，查理布朗 Bon Voyage, Charlie Brown (and Don't Come Back!)",1980,比尔·莫伦茨,喜剧 / 动画 / 家庭,美国,英语,8.5,3635,
江城奇事,1990,鲍芝芳,喜剧,中国大陆,汉语普通话,8.5,1824,
爵士春秋 All That Jazz,1979,鲍勃·福斯,剧情 / 喜剧 / 音乐 / 歌舞,美国,英语 / 西班牙语,8.5,10999,
梁山伯与祝英台 梁山伯與祝英台,1963,李翰祥,爱情 / 古装 / 戏曲,中国香港,汉语普通话,8.5,6272,
茄子：安达卢西亚之夏 茄子 アンダルシアの夏,2003,高坂希太郎,动画 / 运动,日本,日语,8.5,5204,
奇迹创造者 The Miracle Worker,1962,阿瑟·佩恩,剧情 / 传记,美国,英语 / 美国手语,8.5,2941,
未知死亡 Ghajini,2005,A.R.目虏古多斯,剧情 / 动作 / 爱情 / 悬疑 / 惊悚,印度,泰米尔语 / 泰卢固语,8.5,3108,
梦边缘 夢邊緣,1988,罗镇岳,爱情,中国香港,粤语,8.5,2075,
妈妈的天空 A Home of Our Own,1993,托尼·比尔,剧情 / 传记,美国,英语,8.5,1189,
笑之大学 笑の大学,2004,星护,剧情 / 喜剧,日本,日语,8.5,22043,
北壁 Nordwand,2008,菲利普·施特尔茨尔,剧情 / 历史 / 冒险 / 运动,德国 / 奥地利 / 瑞士,德语 / 瑞士德语 / 法语 / 意大利语,8.5,14945,
天才嘉年华 Genius Party,2007,福岛敦子 / 河森正治 / 木村真二 / 福山庸治 / 二村秀树 / 汤浅政明 / 渡边信一郎,动画,日本,日语,8.5,11751,
男人的争斗 Du rififi chez les hommes,1955,朱尔斯·达辛,剧情 / 惊悚 / 犯罪,法国,法语 / 意大利语,8.5,5356,
莫斯科保卫战 Битва за Москву,1985,尤里·奥泽洛夫 Yuri Ozerov,剧情 / 战争,苏联 / 捷克斯洛伐克 / 东德 / 越南,俄语 / 德语,8.5,3368,
狗脸的岁月 Mitt liv som hund,1985,拉斯·霍尔斯道姆,剧情 / 喜剧,瑞典,瑞典语,8.5,17963,
老兵,2015,何一铮,剧情,中国大陆,汉语普通话,8.5,5742,
征服者佩尔 Pelle erövraren,1987,比利·奥古斯特,剧情,丹麦 / 瑞典,丹麦语 / 瑞典语 / 芬兰语,8.5,5187,
母亲 母べえ,2008,山田洋次,剧情 / 家庭,日本,日语,8.5,11501,
Y行动和舒立克的其它冒险 Операция «Ы» и другие приключения Шурика,1965,列昂尼德·盖代,喜剧,苏联,俄语,8.5,964,
霍金传 Hawking,2004,菲利普·马丁,剧情 / 传记,英国,英语,8.5,21048,
寂寞芳心 Issız Adam,2008,查恩·厄尔马克,剧情 / 爱情,土耳其,土耳其语,8.5,19091,
二十四只眼睛 二十四の瞳,1954,木下惠介,剧情,日本,日语,8.5,6357,
擦鞋童 Sciuscià,1946,维托里奥·德西卡,剧情,意大利,意大利语 / 英语,8.5,5367,
一夜狂欢 A Hard Day's Night,1964,理查德·莱斯特,喜剧 / 音乐,英国,英语 / 德语,8.5,5965,
飞出个未来大电影2：万背之兽 Futurama: The Beast with a Billion Backs,2008,Peter Avanzino,喜剧 / 动作 / 爱情 / 科幻 / 动画,美国,英语,8.5,3895,
大鼻子情圣 Cyrano de Bergerac,2017,德尼·波达利德斯,戏曲,法国,法语,8.6,206,
仁心与冠冕 Kind Hearts and Coronets,1949,罗伯特·哈默,喜剧 / 犯罪,英国,英语,8.5,9336,
逃离索比堡 Escape from Sobibor,1987,杰克·高德,剧情 / 惊悚 / 战争,英国 / 南斯拉夫,英语,8.5,5205,
笑面人 The Man Who Laughs,1928,保罗·莱尼,剧情 / 爱情 / 悬疑 / 惊悚 / 恐怖,美国,英语,8.5,3862,
抓壮丁,1963,陈戈 / 沈剡,喜剧,中国大陆,四川方言,8.5,3519,
杰斯尼克：我思我祷 Anthony Jeselnik: Thoughts and Prayers,2015,,喜剧,美国,英语,8.5,3031,
日照好人,2011,杨真,剧情,中国大陆,汉语普通话,8.5,2493,
海蒂 Heidi,1937,艾伦·德万,剧情 / 家庭,美国,英语,8.5,8144,
"神秘博士2011圣诞特别篇 Doctor Who 2011 Christmas Special : The Doctor, The Widow and The Wardrobe",2011,Farren Blackburn,剧情 / 科幻 / 悬疑 / 冒险,英国,英语,8.5,5677,
残菊物语 殘菊物語,1939,沟口健二,剧情,日本,日语,8.5,4649,
解放1：炮火弧线 Освобождение: Огненная дуга,1970,尤里·奥泽洛夫,历史 / 战争,苏联,俄语,8.5,2153,
机动战士高达 雷霆宙域 BANDIT FLOWER 機動戦士ガンダム サンダーボルト BANDIT FLOWER,2017,松尾衡,科幻 / 动画 / 战争,日本,日语,8.5,1611,
十分钟年华老去：小号篇 Ten Minutes Older: The Trumpet,2002,陈凯歌 / 维克多·艾里斯 / 沃纳·赫尔佐格 / 吉姆·贾木许 / 阿基·考里斯马基 / 斯派克·李 / 维姆·文德斯,剧情,西班牙 / 英国 / 德国 / 芬兰 / 中国大陆 / 美国 / 日本 / 加拿大,英语 / 德语 / 汉语普通话 / 西班牙语 / 芬兰语,8.5,27007,
极乐同盟 Spiklenci slasti,1996,杨·史云梅耶,剧情 / 喜剧,捷克 / 瑞士 / 美国,无对白 / 捷克语,8.5,5239,
泰勒·汤姆林森：青年危机 Taylor Tomlinson: Quarter-Life Crisis,2020,马库斯·雷波依,喜剧 / 脱口秀,美国,英语,8.5,4106,
清作之妻 清作の妻,1965,增村保造,剧情 / 爱情 / 战争,日本,日语,8.5,2616,
尼伯龙根：西格弗里德之死 Die Nibelungen: Siegfried,1924,弗里茨·朗,剧情 / 奇幻 / 冒险,德国,德语,8.5,1872,
虫王战队超王者VS暴太郎战队咚兄弟 王様戦隊キングオージャー VS 暴太郎戦隊ドンブラザーズ,2024,加藤弘之,剧情 / 动作 / 奇幻,日本,日语,8.5,472,
龙与虎OVA：便当的精髓 とらドラ! OVA 弁当の极意,2011,长井龙雪,爱情 / 动画,日本,日语,8.5,4824,
赫尔克里的丰功伟绩 Poirot: The Labours of Hercules,2013,安迪·威尔逊,剧情 / 悬疑 / 犯罪,英国,英语,8.5,2897,
男子游泳部剧场版：永恒的混合泳之约定 劇場版 Free! -Timeless Medley- 約束,2017,河浪荣作,剧情 / 动画 / 运动,日本,日语,8.5,2329,
未了阴阳情 Truly Madly Deeply,1990,安东尼·明格拉,剧情 / 爱情 / 音乐 / 奇幻,英国,英语,8.5,1778,
新灵犬莱西 Lassie,2005,查尔斯·斯特里奇,剧情 / 儿童 / 冒险,英国 / 法国 / 爱尔兰 / 美国,英语,8.5,5615,
鸳梦重温 Random Harvest,1942,茂文·勒鲁瓦,剧情 / 爱情,美国,英语,8.5,4998,
古畑任三郎 微笑的袋鼠 古畑任三郎 笑うカンガルー,1995,河野圭太,剧情 / 犯罪,日本,日语,8.5,4455,
古畑任三郎  消失的名侦探 消えた古畑任三郎,1996,河野圭太,喜剧,日本,日语,8.5,3603,
雪地黄金犬 White Fang,1991,兰德尔·克莱泽,剧情 / 冒险,美国,英语,8.5,3219,
奇幻核子战 Fail-Safe,1964,西德尼·吕美特,剧情 / 惊悚 / 战争,美国,英语,8.5,2099,
奥勃洛莫夫一生中的几天 Несколько дней из жизни И. И. Обломова,1980,尼基塔·米哈尔科夫,剧情 / 喜剧 / 爱情,苏联,俄语,8.5,1809,
中二病也要谈恋爱！ 闪耀的圣爆诞祭 中二病でも恋がしたい！ 煌めきの…聖爆誕祭,2013,石原立也,剧情 / 动画,日本,日语,8.5,4039,
裸岛 裸の島,1960,新藤兼人,剧情,日本,日语,8.5,3847,
戴夫·查普尔：一笑置之 Dave Chappelle: Sticks & Stones,2019,斯坦·拉森,喜剧 / 脱口秀,美国,英语,8.5,3674,
丹下左膳余话·百万两之壶 丹下左膳餘話 百萬兩の壺,1935,山中贞雄,喜剧,日本,日语,8.5,1524,
义犬报恩 A Dog of Flanders,1999,Kevin Brodie,剧情,美国,英语,8.5,1447,
飞哥和小佛：惊奇任务 Phineas and Ferb Mission Marvel,2013,,喜剧 / 动作 / 科幻 / 动画,美国,英语,8.5,774,
阿萨 АССА,1987,谢尔盖·索洛维约夫,剧情 / 历史 / 犯罪,苏联,俄语 / 法语,8.5,465,
妄想学生会2 OAD9 生徒会役員共* OAD9,2020,金泽洪充,喜剧 / 动画,日本,日语,8.5,308,
樱花盛开 Kirschblüten - Hanami,2008,多丽丝·德里,剧情 / 爱情,德国,德语 / 英语 / 日语,8.5,6947,
狐狸与猎狗 The Fox and the Hound,1981,阿特·史蒂文斯 / Richard Rich / 泰德·伯曼,动画 / 冒险,美国,英语,8.5,4651,
最后一课 La dernière leçon,2015,帕斯卡莱·普扎杜,剧情 / 家庭,法国,法语,8.5,3745,
特蕾莎修女 Madre Teresa,2003,法布里奇奥·科斯塔,剧情 / 传记,西班牙 / 英国 / 意大利,英语,8.5,2792,
看狗在说话 Homeward Bound: The Incredible Journey,1993,杜维因·邓纳姆,剧情 / 喜剧 / 家庭 / 冒险,美国,英语,8.5,2594,
三毛学生意,1958,黄佐临,喜剧,中国大陆,汉语普通话 / 吴语 / 江淮官话,8.5,2456,
文豪野犬 OAD 文豪ストレイドッグス OAD,2017,五十岚卓哉,动画 / 奇幻,日本,日语,8.5,1924,
吹牛伯爵历险记 Baron Prásil,1962,卡尔·齐曼,喜剧 / 爱情 / 科幻 / 动画 / 战争 / 奇幻 / 冒险,捷克斯洛伐克,捷克语,8.5,1488,
小公主苏菲亚 Sofia the First: Once Upon a Princess,2012,杰米·米切尔,动画 / 歌舞 / 家庭 / 奇幻,美国,英语,8.5,1453,
妄想学生会OAD3 生徒会役員共OAD3,2012,金泽洪充,动画,日本,日语,8.5,1268,
生来自由 Born Free,1966,詹姆斯·希尔,剧情 / 家庭 / 冒险,英国 / 美国,英语,8.5,1204,
妄想学生会OAD4 生徒会役員共OAD4,2013,金泽洪充,动画,日本,日语,8.4,1134,
拂晓的尤娜 OAD 暁のヨナ その背には,2015,米田和弘,动画,日本,日语,8.5,1129,
秀逗魔导士GREAT スレイヤーズぐれえと,1997,渡边浩 / 汤山邦彦,喜剧 / 动画 / 奇幻,日本,日语,8.5,769,
战争与人3 戦争と人間・第3部・完結篇,1973,山本萨夫,剧情 / 爱情 / 家庭 / 战争,日本,日语,8.5,736,
新橙路：那个夏天的开始 新きまぐれオレンジ☆ロード そして、あの夏のはじまり,1996,汤山邦彦 / 石原立也,喜剧 / 爱情 / 动画,日本,日语,8.5,606,
妄想学生会2 OAD4 生徒会役員共* OAD4,2016,金泽洪充,喜剧 / 动画,日本,日语,8.5,581,
牙狼：月虹的旅人 牙狼＜GARO＞-月虹ノ旅人-,2019,雨宫庆太,动作 / 恐怖 / 奇幻,日本,日语,8.5,472,
曼联重生 United,2011,詹姆斯·斯特朗,剧情 / 历史 / 运动,英国,英语 / 德语,8.5,8827,
想做熊的孩子 Drengen der ville gøre det umulige,2002,贾尼克·哈斯楚,剧情 / 动画,丹麦 / 法国,丹麦语 / 瑞典语,8.5,4259,
美少女战士S剧场版：竹姬的恋人 劇場版 美少女戦士セーラームーンS,1994,芝田浩樹 Hiroki Shibata,动作 / 爱情 / 动画 / 奇幻,日本,日语,8.5,2531,
黑骏马 Black Beauty,1994,卡罗琳·汤普森,剧情 / 冒险,美国 / 英国,英语,8.5,2553,
煦阳岭的疑云 Marple: By the Pricking of My Thumbs,2006,彼得·梅达克,悬疑 / 犯罪,英国,英语,8.5,2417,
路人女主的养成方法♭：恋与纯情的福利回 冴えない彼女の育てかた♭ 第0話 恋と純情のサービス回,2017,龟井干太,动画,日本,日语,8.5,2192,
古都,1963,中村登,剧情,日本,日语,8.5,2179,
狐狸列那 Reineke Fuchs,1989,曼弗雷德·杜尼约克 / 何玉门 / 庄敏瑾,动画 / 儿童,西德 / 中国大陆 / 英国,德语,8.5,1598,
飘舞的军旗下 軍旗はためく下に,1972,深作欣二,剧情 / 悬疑 / 历史 / 战争,日本,日语,8.5,1604,
妄想学生会新OVA1 生徒会役員共新OVA1,2013,金泽洪充,剧情 / 喜剧 / 动画,日本,日语,8.5,1146,
天使降临到了我身边！ OVA 私に天使が舞い降りた！ OVA,2019,平牧大辅,喜剧 / 动画,日本,日语,8.5,1170,
"欢迎光临，或闲人免入 Добро пожаловать, или Посторонним вход воспрещен",1964,依莱姆·克里莫夫,喜剧,苏联,俄语,8.5,1156,
十五岁：学校4 十五才 学校IV,2000,山田洋次,剧情,日本,日语,8.5,985,
寅次郎的故事8：寅次郎恋歌 男はつらいよ 寅次郎恋歌,1971,山田洋次,喜剧,日本,日语,8.5,835,
车库 Гараж,1980,埃利达尔·梁赞诺夫,剧情 / 喜剧,苏联,俄语,8.5,647,
寅次郎的故事29：紫阳花之恋 男はつらいよ 寅次郎あじさいの恋,1982,山田洋次,喜剧,日本,日语,8.5,625,
